id,start_iso,start_ts,end_iso,end_ts,weight,ra,dec
IE2XF1031,2020-05-06T19:43:56.907000,1588812236.907,2020-05-06T19:45:14.570000,1588812314.57,6.270771932024833e-05,330.9191416324,-12.25368435233
OE1L07090,2020-08-23T05:02:57.013000,1598176977.013,2020-08-23T05:04:34.213000,1598177074.213,6.287331027978623e-05,332.5514825792,6.197984619717
IE5238SEQ,2020-10-20T20:49:27.930000,1603244967.93,2020-10-20T20:50:14.617000,1603245014.617,6.323910706380825e-05,330.7878928887,18.89087147181
IE5259JDQ,2020-10-22T05:43:09.917000,1603363389.917,2020-10-22T05:43:56.603000,1603363436.603,6.323910706380825e-05,330.7878929213,18.89087145316
JEMM05020,2021-11-17T16:32:49.580000,1637188369.58,2021-11-17T17:16:00.643000,1637190960.643,5.9680114585820004e-05,337.2568708333,14.95249444444
OEMZ01040,2022-10-12T15:20:08.457000,1665606008.457,2022-10-12T15:53:53.457000,1665608033.457,6.003842459173871e-05,345.0147375,15.97851388889
OEXX030F0,2022-12-12T10:12:05.620000,1670861525.62,2022-12-12T10:16:00.620000,1670861760.62,5.8336250145840624e-05,359.6537790471,-1.649592450499
OEXX010B0,2022-12-14T06:18:23.637000,1671020303.637,2022-12-14T06:22:18.637000,1671020538.637,5.8336250145840624e-05,359.8324363968,-1.55609438389
JDS41T010,2023-09-27T23:23:11.517000,1695874991.517,2023-09-27T23:37:08.567000,1695875828.567,6.474587245063128e-05,23.03349708333,-0.4202638888889
IF9I09CZQ,2023-12-28T14:42:27.823000,1703796147.823,2023-12-28T14:42:47.807000,1703796167.807,5.715918833952558e-05,33.3718042388,12.14697919207
IEW614IVQ,2024-01-06T04:43:28.817000,1704537808.817,2024-01-06T04:43:32.797000,1704537812.797,5.8840835539864665e-05,33.41320169891,12.19711737384
OFAP81020,2024-01-15T08:17:06.807000,1705328226.807,2024-01-15T08:17:15.807000,1705328235.807,5.7240984544934173e-05,33.68913965575,12.33991557295
IF9I14RAQ,2024-01-31T13:23:02.890000,1706728982.89,2024-01-31T13:23:06.903000,1706728986.903,5.715918833952558e-05,34.90577456524,12.8479719039
OFAP2A040,2024-02-25T21:18:37.943000,1708917517.943,2024-02-25T21:26:47.947000,1708918007.947,5.7240984544934173e-05,38.20959869848,14.03169259033
IFA305050,2024-08-06T21:04:49.553000,1722996289.553,2024-08-06T21:20:11.550000,1722997211.55,5.743825387708214e-05,40.74741666667,17.21057777778
IF8H07L6Q,2024-10-13T12:59:52.827000,1728842392.827,2024-10-13T13:07:10.793000,1728842830.793,5.7064597123944306e-05,43.66399068449,16.18982477144
IFCU03GDQ,2024-11-09T16:39:10.887000,1731191950.887,2024-11-09T16:39:35.890000,1731191975.89,5.604438715462647e-05,52.92008530412,18.80419281557
IFCU06JOQ,2024-11-10T06:49:24.870000,1731242964.87,2024-11-10T06:49:30.867000,1731242970.867,5.604438715462647e-05,52.89506942071,18.79843795256
IFFN04020,2025-09-17T01:35:48.450000,1758090948.45,2025-09-17T03:20:31.907000,1758097231.907,5.6449336720293535e-05,58.84288081097,9.788332445905
OFGK02020,2025-09-22T16:23:11.723000,1758576191.723,2025-09-22T16:33:17.723000,1758576797.723,5.6038105912020176e-05,88.7931475769,7.407134862166
OFGK03010,2025-10-17T21:31:12.803000,1760754672.803,2025-10-17T21:50:27.803000,1760755827.803,5.6038105912020176e-05,88.79315106198,7.407128413344
OFHI24010,2025-10-23T13:44:14.787000,1761245054.787,2025-10-23T14:20:06.803000,1761247206.803,5.649717514124294e-05,68.74689834151,17.56042161436
IFA6D1OIQ,2025-11-05T11:32:36.050000,1762363956.05,2025-11-05T11:34:28.050000,1762364068.05,5.742506029631331e-05,149.9921939858,-16.16060506059
JFFUNK020,2025-11-20T01:50:56.987000,1763625056.987,2025-11-20T02:08:16.020000,1763626096.02,5.617346365576902e-05,149.8694516483,2.109762602958
IFFUEJ040,2025-11-22T15:02:37.010000,1763845357.01,2025-11-22T15:22:36,1763846556.0,5.617346365576902e-05,150.1927261753,2.401138173393
IFFUFB030,2025-12-04T09:16:02.530000,1764861362.53,2025-12-04T09:33:34.467000,1764862414.467,5.617346365576902e-05,150.2145508333,2.448066666667
