id,start_iso,start_ts,end_iso,end_ts,weight,ra,dec
LDGXT8010,2020-03-17T17:04:02.207000,1584482642.207,2020-03-17T22:15:25.197000,1584501325.197,6.635700066357e-05,285.4949455713,-36.96400923039
JDLP53010,2020-11-20T10:42:47.270000,1605890567.27,2020-11-20T14:14:00.350000,1605903240.35,6.565988181221274e-05,35.86913999982,42.38728740497
IDMI46NZQ,2020-12-02T10:00:06.057000,1606924806.057,2020-12-02T10:01:38.600000,1606924898.6,6.521880910454576e-05,351.7756899865,-1.290999132961
IDPQ47020,2021-07-29T01:17:02.803000,1627539422.803,2021-07-29T01:34:04.020000,1627540444.02,6.509145349215648e-05,34.42190916667,-4.385427777778
IDPQ45XBQ,2021-07-30T00:00:17.780000,1627621217.78,2021-07-30T00:04:27.027000,1627621467.027,6.509145349215648e-05,34.29533435161,-5.131452475821
JDRW4P010,2022-12-07T12:35:59.657000,1670438159.657,2022-12-07T12:49:52.707000,1670438992.707,6.475006475006475e-05,88.04751666667,-7.456175
JDRW54010,2023-01-14T16:11:39.820000,1673734299.82,2023-01-14T16:25:32.837000,1673735132.837,6.475006475006475e-05,100.0486916667,-25.89538333333
JDS41T010,2023-09-27T23:23:11.517000,1695874991.517,2023-09-27T23:37:08.567000,1695875828.567,6.474587245063128e-05,23.03349708333,-0.4202638888889
IEE657WCQ,2025-07-17T13:15:29.720000,1752776129.72,2025-07-17T13:15:44.057000,1752776144.057,6.180469715698394e-05,300.1766938079,22.70297940257
IEE660ZPQ,2025-07-17T18:08:54.710000,1752793734.71,2025-07-17T18:09:09.080000,1752793749.08,6.180469715698394e-05,300.1766938074,22.7029793638
IEE810W4Q,2025-10-23T23:43:01.073000,1761280981.073,2025-10-23T23:44:53.073000,1761281093.073,6.180087757246153e-05,97.09628676832,-65.57951005478
IF0E51H3Q,2025-11-03T23:23:24.080000,1762233804.08,2025-11-03T23:24:45.170000,1762233885.17,5.816658911121452e-05,42.24830116255,-14.53703989451
IEYI7CBTQ,2025-11-30T02:09:31.027000,1764490171.027,2025-11-30T02:21:31.010000,1764490891.01,5.809900069718801e-05,167.7360792501,28.76975672435
IFFUFB030,2025-12-04T09:16:02.530000,1764861362.53,2025-12-04T09:33:34.467000,1764862414.467,5.617346365576902e-05,150.2145508333,2.448066666667
